"date","close","volume","open","high","low"
"2013/08/22","1656.9600","0.0000","1645.0300","1659.5500","1645.0300"
"2013/08/21","1642.8000","0.0000","1650.6600","1656.9900","1639.4300"
"2013/08/20","1652.3500","0.0000","1646.8100","1658.9200","1646.0800"
"2013/08/19","1646.0600","0.0000","1655.2500","1659.1800","1645.8400"
"2013/08/16","1655.8300","0.0000","1661.2200","1663.6000","1652.6100"
"2013/08/15","1661.3200","0.0000","1679.6100","1679.6100","1658.5900"
"2013/08/14","1685.3900","0.0000","1693.8800","1695.5200","1684.8300"
"2013/08/13","1694.1600","0.0000","1690.6500","1696.8100","1682.6200"
"2013/08/12","1689.4700","0.0000","1688.3700","1691.4900","1683.3500"
"2013/08/09","1691.4200","0.0000","1696.1000","1699.4200","1686.0200"
"2013/08/08","1697.4800","0.0000","1693.3500","1700.1800","1688.3800"
"2013/08/07","1690.9100","0.0000","1695.3000","1695.3000","1684.9100"
"2013/08/06","1697.3700","0.0000","1705.7900","1705.7900","1693.2900"
"2013/08/05","1707.1400","0.0000","1708.0100","1709.2400","1703.5500"
"2013/08/02","1709.6700","0.0000","1706.1000","1709.6700","1700.6800"
"2013/08/01","1706.8700","0.0000","1689.4200","1707.8500","1689.4200"
"2013/07/31","1685.7300","0.0000","1687.7600","1698.4300","1684.9400"
"2013/07/30","1685.9600","0.0000","1687.9200","1693.1900","1682.4200"
"2013/07/29","1685.3300","0.0000","1690.3200","1690.9200","1681.8600"
"2013/07/26","1691.6500","0.0000","1687.3100","1691.8500","1676.0300"
"2013/07/25","1690.2500","0.0000","1685.2100","1690.9400","1680.0700"
"2013/07/24","1685.9400","0.0000","1696.0600","1698.3800","1682.5700"
"2013/07/23","1692.3900","0.0000","1696.6300","1698.7800","1691.1300"
"2013/07/22","1695.5300","0.0000","1694.4100","1697.6100","1690.6700"
"2013/07/19","1692.0900","0.0000","1686.1500","1692.0900","1684.0800"
"2013/07/18","1689.3700","0.0000","1681.0500","1693.1200","1681.0500"
"2013/07/17","1680.9100","0.0000","1677.9100","1684.7500","1677.9100"
"2013/07/16","1676.2600","0.0000","1682.7000","1683.7300","1671.8400"
"2013/07/15","1682.5000","0.0000","1679.5900","1684.5100","1677.8900"
"2013/07/12","1680.1900","0.0000","1675.2600","1680.1900","1672.3300"
"2013/07/11","1675.0200","0.0000","1657.4100","1676.6300","1657.4100"
"2013/07/10","1652.6200","0.0000","1651.5600","1657.9200","1647.6600"
"2013/07/09","1652.3200","0.0000","1642.8900","1654.1800","1642.8900"
"2013/07/08","1640.4600","0.0000","1634.2000","1644.6800","1634.2000"
"2013/07/05","1631.8900","0.0000","1618.6500","1632.0700","1614.7100"
"2013/07/03","1615.4100","0.0000","1611.4800","1618.9700","1604.5700"
"2013/07/02","1614.0800","0.0000","1614.2900","1624.2600","1606.7700"
"2013/07/01","1614.9600","0.0000","1609.7800","1626.6100","1609.7800"
"2013/06/28","1606.2800","0.0000","1611.1200","1615.9400","1601.0600"
"2013/06/27","1613.2000","0.0000","1606.4400","1620.0700","1606.4400"
"2013/06/26","1603.2600","0.0000","1592.2700","1606.8300","1592.2700"
"2013/06/25","1588.0300","0.0000","1577.5200","1593.7900","1577.0900"
